entry	ensembl	entry_name	reviewed	protein_names	gene_names	length	organism	organism_id	pfam	supfam
A1Z8D0		PWP1_DROME	reviewed	Periodic tryptophan protein 1 homolog (PWP1) (Protein no child left behind)	nclb dpwp1 CG6751	459	Drosophila melanogaster (Fruit fly)	7227	PF00400;	SSF50978;
A1Z8F4		SCHNR_DROME	reviewed	Protein schnurri	shn quo CG7734	2577	Drosophila melanogaster (Fruit fly)	7227	PF00096;PF12874;	SSF57667;
A1Z8N1		TRE11_DROME	reviewed	Trehalose transporter 1 (Facilitated trehalose transporter Tret1-1) (DmTret1-1)	Tret1 Tret1-1 CG30035	857	Drosophila melanogaster (Fruit fly)	7227	PF00083;	SSF103473;
A1Z8P9		TPR_DROME	reviewed	Nucleoprotein TPR (Nuclear envelope antigen Bx34) (Protein megator)	Mgtor Bx34 l(2)k03905 Mtor CG8274	2346	Drosophila melanogaster (Fruit fly)	7227	PF25481;PF25785;PF07926;	
A1Z8R8		PARL_DROME	reviewed	Presenilins-associated rhomboid-like protein, mitochondrial (EC 3.4.21.105) (Mitochondrial intramembrane-cleaving protease Parl) (Rhomboid-7)	rho-7 Parl R7 CG8972	351	Drosophila melanogaster (Fruit fly)	7227	PF01694;	SSF144091;
A1Z8X3		RTTN_DROME	reviewed	Protein rotatin homolog (Anastral spindle 3)	ana3 CG13162	1977	Drosophila melanogaster (Fruit fly)	7227	PF14726;	
A1Z9E2		LIN54_DROME	reviewed	Protein lin-54 homolog (Myb complex protein of 120 kDa)	mip120 CG6061	950	Drosophila melanogaster (Fruit fly)	7227	PF03638;	
A1Z9G2		SYF1_DROME	reviewed	Pre-mRNA-splicing factor syf1 homolog (Pre-mRNA-splicing factor fandango) (Protein faint sausage)	fand fas CG6197	883	Drosophila melanogaster (Fruit fly)	7227	PF23231;PF23233;PF23220;	SSF48452;
A1Z9J4		DJ1A_DROME	reviewed	Protein DJ-1alpha	DJ-1alpha CG6646	217	Drosophila melanogaster (Fruit fly)	7227	PF01965;	SSF52317;
A1Z9L3		DHX8_DROME	reviewed	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (Peanuts)	pea Prp22 CG8241	1242	Drosophila melanogaster (Fruit fly)	7227	PF21010;PF00271;PF07717;PF00575;PF04408;	SSF50249;SSF52540;
A1Z9P3		SHRM_DROME	reviewed	Protein Shroom	Shrm Shroom CG34379	1576	Drosophila melanogaster (Fruit fly)	7227	PF08687;	
A1Z9S1		BL1S1_DROME	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1)	Blos1 CG30077	147	Drosophila melanogaster (Fruit fly)	7227	PF06320;	
A1Z9X0		APKC_DROME	reviewed	Atypical protein kinase C (EC 2.7.11.13)	aPKC CG30475	606	Drosophila melanogaster (Fruit fly)	7227	PF00130;PF00564;PF00069;PF00433;	SSF54277;SSF57889;SSF56112;
A1ZA47		ZASP_DROME	reviewed	PDZ and LIM domain protein Zasp (Z band alternatively spliced PDZ-motif protein)	Zasp52 Zasp CG30084	2194	Drosophila melanogaster (Fruit fly)	7227	PF15936;PF00412;PF00595;	SSF57716;SSF50156;
A1ZA55		CGLR1_DROME	reviewed	Cyclic GMP-AMP synthase-like receptor 1 (cGLR1) (EC 2.7.7.-)	cGlr1 CG12970	378	Drosophila melanogaster (Fruit fly)	7227	PF03281;PF20266;	
A1ZAB5		CLU_DROME	reviewed	Protein clueless (Clustered mitochondria protein homolog)	clu CG8443	1448	Drosophila melanogaster (Fruit fly)	7227	PF13236;PF15044;PF12807;PF05303;PF13374;PF13424;	SSF103107;SSF48452;
A1ZAC4		KRIMP_DROME	reviewed	Tudor domain-containing protein krimp (Protein krimper)	krimp mtc CG15707	746	Drosophila melanogaster (Fruit fly)	7227	PF00567;PF24047;	SSF63748;
A1ZAG4		PAR16_DROME	reviewed	Protein mono-ADP-ribosyltransferase Parp16 (PARP-16) (EC 2.4.2.-)	Parp16 CG15925	359	Drosophila melanogaster (Fruit fly)	7227	PF18084;	
A1ZAJ2		KIF1A_DROME	reviewed	Kinesin-like protein unc-104 (Protein immaculate connections) (DUnc104)	unc-104 imac CG8566	1670	Drosophila melanogaster (Fruit fly)	7227	PF12473;PF00498;PF12423;PF00225;PF16183;PF00169;	SSF52540;SSF50729;SSF49879;
A1ZAK1		INT8_DROME	reviewed	Integrator complex subunit 8	IntS8 CG5859	1007	Drosophila melanogaster (Fruit fly)	7227	PF25756;	
A1ZAU8		PTRO_DROME	reviewed	Patronin (Short spindle protein 4)	Patronin l(2)k07433 ssp4 CG33130	1630	Drosophila melanogaster (Fruit fly)	7227	PF17095;PF11971;PF08683;PF25532;	SSF47576;SSF50346;
A1ZAW0		DCR2_DROME	reviewed	Endoribonuclease Dcr-2 (Protein Dicer-2) (EC 3.1.26.3)	Dcr-2 dcr dic2 Dicer2 CG6493	1722	Drosophila melanogaster (Fruit fly)	7227	PF00270;PF03368;PF20931;PF00035;PF00271;PF02170;PF00636;	SSF54768;SSF52540;SSF69065;
A1ZAY1		DLISH_DROME	reviewed	SH3 domain-containing protein Dlish (Dachs ligand with SH3 domains)	Dlish CG10933	355	Drosophila melanogaster (Fruit fly)	7227	PF07653;PF14604;	SSF50044;
A1ZB29		KTHY_DROME	reviewed	Thymidylate kinase (DmTMPK) (EC 2.7.4.9) (Deoxythymidylate kinase)	Dtymk TMPK CG5757	211	Drosophila melanogaster (Fruit fly)	7227	PF02223;	SSF52540;
A1ZBD6		MCTP_DROME	reviewed	Multiple C2 and transmembrane domain-containing protein	Mctp CG15078	912	Drosophila melanogaster (Fruit fly)	7227	PF00168;PF08372;	SSF49562;
A2VEI2		MICU1_DROME	reviewed	Calcium uptake protein 1 homolog, mitochondrial (Mitochondrial calcium uptake 1)	MICU1 CG4495	525	Drosophila melanogaster (Fruit fly)	7227	PF13202;PF13833;	SSF47473;
A2VEY9		APP_DROME	reviewed	Palmitoyltransferase app (EC 2.3.1.225) (Protein approximated)	app CG42318	693	Drosophila melanogaster (Fruit fly)	7227	PF01529;	
A4VCL2		FA20C_DROME	reviewed	Extracellular serine/threonine protein CG31145 (EC 2.7.11.1) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK)	CG31145	528	Drosophila melanogaster (Fruit fly)	7227	PF06702;	
A8DYE2		TRPCG_DROME	reviewed	Transient receptor potential cation channel trpm (Transient receptor potential cation channel, subfamily M ortholog)	Trpm CG44240	2023	Drosophila melanogaster (Fruit fly)	7227	PF00520;PF18139;PF25508;PF16519;	
A8DYH2		UFM1_DROME	reviewed	Ubiquitin-fold modifier 1	Ufm1 CG34191	87	Drosophila melanogaster (Fruit fly)	7227	PF03671;	SSF54236;
A8DYP0		OBSCN_DROME	reviewed	Protein Obscurin (Inactive serine/threonine-protein kinase obscurin) (Muscle M-line assembly protein Unc-89)	Obsc Unc-89 CG33519	4218	Drosophila melanogaster (Fruit fly)	7227	PF00041;PF07679;PF13927;PF00069;PF00621;PF22697;	SSF48065;SSF49265;SSF48726;SSF50729;SSF56112;SSF50044;
A8DYP7		CGLR2_DROME	reviewed	Cyclic GMP-AMP synthase-like receptor 2 (cGLR2) (EC 2.7.7.-) (EC 2.7.7.86)	cGlr2 CG30424	459	Drosophila melanogaster (Fruit fly)	7227	PF03281;PF20266;	
A8DYY6		SCHI1_DROME	reviewed	Schwannomin-interacting protein 1 homolog	Schip1 CG5375	616	Drosophila melanogaster (Fruit fly)	7227	PF10148;	
A8JQX3		NOCT_DROME	reviewed	Nocturnin (EC 3.1.3.-) (Curled)	cu CG31299	642	Drosophila melanogaster (Fruit fly)	7227	PF03372;	SSF56219;
A8JUP7		HAYAN_DROME	reviewed	Serine protease Hayan (EC 3.4.21.-)	Hayan CG6361	637	Drosophila melanogaster (Fruit fly)	7227	PF00089;	SSF50494;
A8JUV0		SBNO_DROME	reviewed	Protein strawberry notch	sno CG44436	1653	Drosophila melanogaster (Fruit fly)	7227	PF13872;PF13871;PF25373;	SSF52540;
A8JUV4		VTUL_DROME	reviewed	Vitelline membrane-like protein	Vml CRM-80 CG34333	578	Drosophila melanogaster (Fruit fly)	7227		
A8MPH9		FOSLD_DROME	reviewed	Transcription factor kayak, isoforms D/sro (AP-1) (Fos-related antigen) (Dfos) (dFra)	kay Fra CG15509	722	Drosophila melanogaster (Fruit fly)	7227	PF00170;	SSF57959;
B5A5T4		QVR_DROME	reviewed	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)	qvr sss CG33472	158	Drosophila melanogaster (Fruit fly)	7227	PF17064;	
B6VQA1		DIMM_DROME	reviewed	Protein dimmed	dimm CG8667	390	Drosophila melanogaster (Fruit fly)	7227	PF00010;	SSF47459;
B7TB45		SPZ2_DROME	reviewed	Neurotrophin 1 (Neurotrophic factor 1) (Protein spaetzle 2) (Protein spatzle 2)	NT1 DNT1 spz2 CG42576	886	Drosophila melanogaster (Fruit fly)	7227	PF24103;PF16077;	SSF57501;
B7YZU2		LINT_DROME	reviewed	Serine protease filzig (EC 3.4.21.-) (Lumens interrupted)	flz lint CG8213	1693	Drosophila melanogaster (Fruit fly)	7227	PF00089;	SSF50494;
B7YZV4		PDE1_DROME	reviewed	Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1 (PDE1) (EC 3.1.4.17)	Pde1c CG44007	834	Drosophila melanogaster (Fruit fly)	7227	PF00233;PF08499;	SSF109604;
B7Z0E2		UNR_DROME	reviewed	RNA-binding protein Unr (Protein upstream of N-ras homolog)	Unr CG7015	1039	Drosophila melanogaster (Fruit fly)	7227	PF00313;PF23456;	SSF50249;
B7Z0I7		SPN1_DROME	reviewed	Snurportin-1	Snup CG42303	351	Drosophila melanogaster (Fruit fly)	7227	PF21974;	SSF56091;
B7Z0L8		MODI_DROME	reviewed	Protein modigliani	moi DTL DTLu CG31241 CG42350	178	Drosophila melanogaster (Fruit fly)	7227		
C0HK98		SC1A_DROME	reviewed	Peptidoglycan-recognition protein SC1a (EC 3.5.1.28)	PGRP-SC1a CG14746	185	Drosophila melanogaster (Fruit fly)	7227	PF01510;	SSF55846;
C0HK99		SC1B_DROME	reviewed	Peptidoglycan-recognition protein SC1b (EC 3.5.1.28)	PGRP-SC1b CG8577	185	Drosophila melanogaster (Fruit fly)	7227	PF01510;	SSF55846;
C0HKQ7		CECA1_DROME	reviewed	Cecropin-A1	CecA1 CG1365	63	Drosophila melanogaster (Fruit fly)	7227	PF00272;	
C0HKQ8		CECA2_DROME	reviewed	Cecropin-A2	CecA2 CG1367	63	Drosophila melanogaster (Fruit fly)	7227	PF00272;	
C0HL66		H33A_DROME	reviewed	Histone H3.3A (H3.A)	His3.3A CG5825	136	Drosophila melanogaster (Fruit fly)	7227	PF00125;	SSF47113;
C0HL67		H33B_DROME	reviewed	Histone H3.3B (H3.B)	His3.3B CG8989	136	Drosophila melanogaster (Fruit fly)	7227	PF00125;	SSF47113;
C0HLZ9		BARA1_DROME	reviewed	Baramicin A1 [Cleaved into: Immune-induced peptide 24 (DIM-24) (DIM24) (IM24); Immune-induced peptide 10 (DIM-10) (DIM10) (IM10); Immune-induced peptide 12 (DIM-12) (DIM12) (IM12); Immune-induced peptide 13 (DIM-13) (DIM13) (IM13); Immune-induced peptide 22 (DIM-22) (DIM22) (IM22); Immune-induced peptide 5 (DIM-5) (DIM5) (IM5); Immune-induced peptide 6 (DIM-6) (DIM6) (IM6); Immune-induced peptide 8 (DIM-8) (DIM8) (IM8)]	BaraA1 IMPPP CG33470	257	Drosophila melanogaster (Fruit fly)	7227		
C0HM00		BARA2_DROME	reviewed	Baramicin A2 [Cleaved into: Immune-induced peptide 24 (DIM-24) (DIM24) (IM24); Immune-induced peptide 10 (DIM-10) (DIM10) (IM10); Immune-induced peptide 12 (DIM-12) (DIM12) (IM12); Immune-induced peptide 13 (DIM-13) (DIM13) (IM13); Immune-induced peptide 22 (DIM-22) (DIM22) (IM22); Immune-induced peptide 5 (DIM-5) (DIM5) (IM5); Immune-induced peptide 6 (DIM-6) (DIM6) (IM6); Immune-induced peptide 8 (DIM-8) (DIM8) (IM8)]	BaraA2 IMPPP CG18279	257	Drosophila melanogaster (Fruit fly)	7227		
D5SHR0		TIWAZ_DROME	reviewed	BTB/POZ domain-containing protein Tiwaz (Potassium channel tetramerization domain-containing protein Tiwaz)	twz CG10440	367	Drosophila melanogaster (Fruit fly)	7227	PF02214;PF20871;	SSF54695;
E1JIB2		IYD_DROME	reviewed	Iodotyrosine deiodinase (EC 1.21.1.1) (Halotyrosine dehalogenase) (Protein condet)	Iyd cdt CG46438	287	Drosophila melanogaster (Fruit fly)	7227	PF00881;	SSF55469;
E1JIT7		PSD_DROME	reviewed	PH and SEC7 domain-containing protein (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for Arf 6)	Efa6 CG18185 CG6941 dPsd CG31158	1601	Drosophila melanogaster (Fruit fly)	7227	PF17820;PF15410;PF01369;	SSF50156;SSF50729;SSF48425;
E9NA96		IR25A_DROME	reviewed	Ionotropic receptor 25a	Ir25a CG15627	947	Drosophila melanogaster (Fruit fly)	7227	PF00060;PF10613;	SSF53822;SSF53850;SSF81324;
F0JAI6		KEBAB_DROME	reviewed	Kinetochore and Eb1-associated basic protein	Kebab CG31672	548	Drosophila melanogaster (Fruit fly)	7227		
F3YDF1		YMEL1_DROME	reviewed	ATP-dependent zinc metalloprotease YME1L (EC 3.4.24.-) (YME1-like ATPase)	YME1L CG3499	740	Drosophila melanogaster (Fruit fly)	7227	PF00004;PF17862;PF01434;	SSF140990;SSF52540;
M9MRD1		MS300_DROME	reviewed	Muscle-specific protein 300 kDa (Nesprin-like protein Msp300)	Msp300 CG42768	12345	Drosophila melanogaster (Fruit fly)	7227	PF00307;PF10541;PF00435;PF25034;	SSF47576;SSF46966;
M9MRI4		TRIM9_DROME	reviewed	E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (Anomalies in sensory axon patterning protein) (asap) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif containing protein 9)	Trim9 CG31721	740	Drosophila melanogaster (Fruit fly)	7227	PF00041;PF00622;PF00643;	SSF57845;SSF49899;SSF49265;SSF57850;
M9MS50		SRPK7_DROME	reviewed	Serine-arginine protein kinase at 79D (EC 2.7.11.1) (Protein air traffic controller)	Srpk79D atc CG11489	869	Drosophila melanogaster (Fruit fly)	7227	PF00069;	SSF56112;
M9MSG8		PIEZO_DROME	reviewed	Piezo-type mechanosensitive ion channel component	Piezo CG18103	2551	Drosophila melanogaster (Fruit fly)	7227	PF12166;PF24874;PF24871;PF15917;PF23188;	
M9NDE3		BARK_DROME	reviewed	Protein bark beetle (Protein anakonda)	bark aka CG3921	3123	Drosophila melanogaster (Fruit fly)	7227	PF00530;	SSF56436;SSF51126;SSF49854;SSF56487;
M9NEY8		TET_DROME	reviewed	Methylcytosine dioxygenase TET (EC 1.14.11.80) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase) (EC 1.14.11.51)	Tet DMAD CG2083 CG43444 CG9973	2860	Drosophila melanogaster (Fruit fly)	7227	PF12851;	
M9PBE2		HAKAI_DROME	reviewed	E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27)	Hakai CG10263	473	Drosophila melanogaster (Fruit fly)	7227	PF18408;	
M9PE65		AXO_DROME	reviewed	Axotactin	axo CG13715 CG13717 CG18296 CG32234 CG42664 CT1277 CG43225	2179	Drosophila melanogaster (Fruit fly)	7227	PF00014;PF02210;	SSF57362;SSF49899;
M9PF61		ALDR_DROME	reviewed	Aldo-keto reductase 1B (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldose reductase) (dAR1)	Ar1 Akr1B CG6084	350	Drosophila melanogaster (Fruit fly)	7227	PF00248;	SSF51430;
M9PFN0		HZG_DROME	reviewed	Phosphatase Herzog (EC 3.1.3.16)	hzg 24664944 CG5830	352	Drosophila melanogaster (Fruit fly)	7227	PF03031;	SSF56784;
M9PGC5		WNK_DROME	reviewed	Serine/threonine-protein kinase Wnk (EC 2.7.11.1) (Protein kinase with no lysine)	Wnk CG7177	2462	Drosophila melanogaster (Fruit fly)	7227	PF24889;PF12202;PF00069;	SSF56112;
M9PH32		MEI26_DROME	reviewed	Protein meiotic P26	mei-P26 CG12218	1206	Drosophila melanogaster (Fruit fly)	7227	PF01436;PF00643;	SSF57845;SSF101898;SSF57850;
O01346		EGH_DROME	reviewed	Glycolipid beta-1,4-mannosyltransferase egh (EC 2.4.1.-) (GDP-Man:beta-Glc beta1,4-Mannosyl transferase) (Protein egghead) (Protein zeste-white 4)	egh l(1)3Ae zw4 CG9659	457	Drosophila melanogaster (Fruit fly)	7227	PF13632;	SSF53448;
O01367		HOW_DROME	reviewed	Protein held out wings (KH domain protein KH93F) (Protein muscle-specific) (Protein struthio) (Protein wings held out) (Putative RNA-binding protein) (Quaking-related 93F)	how KH93F qkr93F stru who CG10293	405	Drosophila melanogaster (Fruit fly)	7227	PF22675;PF16544;	SSF54791;
O01382		DRICE_DROME	reviewed	Caspase drICE (EC 3.4.22.-) (Death related ICE-like caspase) [Cleaved into: Caspase subunit p21; Caspase subunit p12]	Drice ICE CG7788	339	Drosophila melanogaster (Fruit fly)	7227	PF00656;	SSF52129;
O01404		PHM_DROME	reviewed	Peptidylglycine alpha-hydroxylating monooxygenase (dPHM) (EC 1.14.17.3)	Phm CG3832	365	Drosophila melanogaster (Fruit fly)	7227	PF03712;PF01082;	SSF49742;
O01668		OPS6_DROME	reviewed	Opsin Rh6 (Rhodopsin Rh6, long-wavelength)	Rh6 CG5192	369	Drosophila melanogaster (Fruit fly)	7227	PF00001;	SSF81321;
O02002		CASP1_DROME	reviewed	Caspase-1 (EC 3.4.22.-) [Cleaved into: Caspase-1 subunit p22; Caspase-1 subunit p13]	Dcp-1 CG5370	323	Drosophila melanogaster (Fruit fly)	7227	PF00656;	SSF52129;
O02193		MOF_DROME	reviewed	Histone acetyltransferase MOF (EC 2.3.1.48) (Males-absent on the first protein)	mof CG3025	827	Drosophila melanogaster (Fruit fly)	7227	PF01853;PF11717;PF17772;	SSF55729;SSF54160;
O02194		PSN_DROME	reviewed	Presenilin homolog (DmPS) (EC 3.4.23.-) (dPS)	Psn PS CG18803	541	Drosophila melanogaster (Fruit fly)	7227	PF01080;	
O02372		LUSH_DROME	reviewed	General odorant-binding protein lush	lush Obp76a Obp76c CG8807	153	Drosophila melanogaster (Fruit fly)	7227	PF01395;	SSF47565;
O02373		UGDH_DROME	reviewed	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22) (Protein sugarless) (Protein suppenkasper)	sgl kiwi ska CG10072	476	Drosophila melanogaster (Fruit fly)	7227	PF00984;PF03720;PF03721;	SSF48179;SSF51735;SSF52413;
O15943		CADN_DROME	reviewed	Neural-cadherin (Cadherin-N) (dN-cadherin)	CadN CG7100	3097	Drosophila melanogaster (Fruit fly)	7227	PF01049;PF00028;PF00008;PF24811;PF02210;	SSF49313;SSF49899;SSF57184;
O15945		ARNT_DROME	reviewed	Aryl hydrocarbon receptor nuclear translocator homolog (dARNT) (Hypoxia-inducible factor 1-beta) (Protein tango)	tgo ARNT HIF-1-beta CG11987	642	Drosophila melanogaster (Fruit fly)	7227	PF00010;PF00989;PF14598;	SSF47459;SSF55785;
O16011		MBL_DROME	reviewed	Protein muscleblind (Protein mindmelt)	mbl mm CG33197	297	Drosophila melanogaster (Fruit fly)	7227	PF22628;	
O16102		CHD3_DROME	reviewed	ATP-dependent chromatin remodeler Chd3 (EC 3.6.4.-) (Chromo domain-containing protein 3)	Chd3 CG9594	892	Drosophila melanogaster (Fruit fly)	7227	PF00385;PF00271;PF00628;PF00176;	SSF54160;SSF52540;
O16810		ORC1_DROME	reviewed	Origin recognition complex subunit 1 (DmORC1)	Orc1 CG10667	924	Drosophila melanogaster (Fruit fly)	7227	PF00004;PF17872;PF01426;PF09079;	SSF52540;
O16829		CECC_DROME	reviewed	Cecropin-C	CecC CG1373	63	Drosophila melanogaster (Fruit fly)	7227	PF00272;	
O16844		COS_DROME	reviewed	Kinesin-like protein costa (Kinesin-like protein costal2)	cos cos2 costal-2 CG1708	1201	Drosophila melanogaster (Fruit fly)	7227	PF00225;	SSF52540;
O16867		TAP_DROME	reviewed	Basic helix-loop-helix neural transcription factor TAP (Protein biparous) (Target of Poxn protein)	tap bps CG7659	398	Drosophila melanogaster (Fruit fly)	7227	PF00010;	SSF47459;
O17468		HIRA_DROME	reviewed	Protein HIRA homolog (Protein sesame) (dHIRA)	Hira Dhh ssm CG12153	1047	Drosophila melanogaster (Fruit fly)	7227	PF24105;PF07569;PF09453;	SSF50978;
O18333		RAB2_DROME	reviewed	Ras-related protein Rab-2 (EC 3.6.5.2)	Rab2 CG3269	213	Drosophila melanogaster (Fruit fly)	7227	PF00071;	SSF52540;
O18334		RAB6_DROME	reviewed	Ras-related protein Rab6 (Protein warthog)	Rab6 wrt CG6601	208	Drosophila melanogaster (Fruit fly)	7227	PF00071;	SSF52540;
O18381		PAX6_DROME	reviewed	Paired box protein Pax-6 (Protein eyeless)	ey pax6 CG1464	857	Drosophila melanogaster (Fruit fly)	7227	PF00046;PF00292;	SSF46689;
O18388		IMB_DROME	reviewed	Importin subunit beta (Karyopherin subunit beta) (Protein ketel)	Fs(2)Ket CG2637	884	Drosophila melanogaster (Fruit fly)	7227	PF13513;PF03810;PF25574;	SSF48371;
O18404		HCD2_DROME	reviewed	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51, EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Hydroxysteroid dehydrogenase) (EC 1.1.1.-, EC 1.1.1.53) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Scully protein) (Type II HADH)	scu MRPP2 CG7113	255	Drosophila melanogaster (Fruit fly)	7227	PF00106;	SSF51735;
O18412		FZO_DROME	reviewed	Transmembrane GTPase fzo (EC 3.6.5.-) (Protein fuzzy onions)	fzo CG4568	718	Drosophila melanogaster (Fruit fly)	7227	PF00350;PF04799;	SSF52540;
