entry	pos	evidence	id	note	origin
O02002	34-202		PRO_0000004663	Caspase-1 subunit p22	chain
O02193	1-827		PRO_0000051563	Histone acetyltransferase MOF	chain
O02194	1-541		PRO_0000073901	Presenilin homolog	chain
O02195	1-326		PRO_0000051038	Eukaryotic translation initiation factor 3 subunit I	chain
O02372	30-153		PRO_0000012577	General odorant-binding protein lush	chain
O02373	1-476		PRO_0000074064	UDP-glucose 6-dehydrogenase	chain
O02649	58-573		PRO_0000005031	Heat shock protein 60A	chain
O15943	?-3097		PRO_0000003882	Neural-cadherin	chain
O15945	1-642		PRO_0000127117	Aryl hydrocarbon receptor nuclear translocator homolog	chain
O16011	1-297		PRO_0000089177	Protein muscleblind	chain
O16102	1-892		PRO_0000080235	ATP-dependent chromatin remodeler Chd3	chain
O16129	28-453		PRO_0000035816	Probable phenylalanine--tRNA ligase, mitochondrial	chain
O16130	1-51		PRO_0000127031	Large ribosomal subunit protein eL39	chain
O16797	2-416		PRO_0000077237	Large ribosomal subunit protein uL3	chain
O16810	1-924		PRO_0000127069	Origin recognition complex subunit 1	chain
O16829	24-62		PRO_0000004848	Cecropin-C	chain
O16844	1-1201		PRO_0000307148	Kinesin-like protein costa	chain
O16867	1-398		PRO_0000127459	Basic helix-loop-helix neural transcription factor TAP	chain
O16868	1-416		PRO_0000312924	Protein fuzzy	chain
O17444	1-578		PRO_0000127526	Vesicular acetylcholine transporter	chain
O17445	1-204		PRO_0000127555	Large ribosomal subunit protein eL15	chain
O17468	1-1047		PRO_0000051022	Protein HIRA homolog	chain
O18333	1-213		PRO_0000458897	Ras-related protein Rab-2	chain
O18334	1-208		PRO_0000425445	Ras-related protein Rab6	chain
O18373	1-398		PRO_0000127652	Inactive selenide, water dikinase-like protein	chain
O18381	1-857		PRO_0000050193	Paired box protein Pax-6	chain
O18388	1-884		PRO_0000120762	Importin subunit beta	chain
O18391	1-331		PRO_0000084323	Probable serine hydrolase	chain
O18400	1-509		PRO_0000049233	Pituitary homeobox homolog Ptx1	chain
O18404	1-255		PRO_0000054813	3-hydroxyacyl-CoA dehydrogenase type-2	chain
O18405	1-270		PRO_0000127667	Surfeit locus protein 4 homolog	chain
O18408	20-493		PRO_0000001382	Alpha-amylase-related protein	chain
O18412	1-718		PRO_0000127680	Transmembrane GTPase fzo	chain
O18413	1-405		PRO_0000084727	26S proteasome regulatory subunit 8	chain
O18475	1-2059		PRO_0000432704	DNA polymerase theta	chain
O18640	1-318		PRO_0000127740	Small ribosomal subunit protein RACK1	chain
O44081	1-508		PRO_0000121989	H	chain
O44252	1-275		PRO_0000097405	Protein rolling stone	chain
O44342	22-257		PRO_0000022690	Protein windbeutel	chain
O44386	25-1115		PRO_0000016326	Integrin alpha-PS3	chain
O44386	25-?929	ECO:0000255	PRO_0000016327	Integrin alpha-PS3 heavy chain	chain
O44386	?930-1115	ECO:0000255	PRO_0000016328	Integrin alpha-PS3 light chain	chain
O44424	1-501		PRO_0000079875	Splicing factor ESS-2 homolog	chain
O44437	1-151		PRO_0000122218	Small nuclear ribonucleoprotein Sm D3	chain
O44783	1-589		PRO_0000076897	Protein sprouty	chain
O46036	1-476		PRO_0000076048	C-terminal-binding protein	chain
O46037	1-961		PRO_0000064259	Vinculin	chain
O46040	1-462		PRO_0000096607	SET domain-containing protein SmydA-8, isoform A	chain
O46043	1-723		PRO_0000066607	Poly(ADP-ribose) glycohydrolase	chain
O46051	1-507		PRO_0000051837	Probable cytochrome P450 4d14	chain
O46054	1-496		PRO_0000051830	Cytochrome P450 4ae1	chain
O46072	1-1192		PRO_0000055006	Probable ATP-dependent RNA helicase kurz	chain
O46077	1-397		PRO_0000174225	Odorant receptor 2a	chain
O46080	1-487		PRO_0000378187	Protein SMG9	chain
O46084	1-289		PRO_0000288789	Serine	chain
O46089	1-1102		PRO_0000403774	Protein MMS22-like	chain
O46098	1-92		PRO_0000174312	LYR motif-containing protein 4 homolog	chain
O46101	1-244		PRO_0000437455	Tetraspanin-2A	chain
O46102	58-612	ECO:0000255	PRO_0000437484	Poly(A) RNA polymerase, mitochondrial	chain
O46106	1-503		PRO_0000174320	Splicing factor 3A subunit 3	chain
O46107	25-439		PRO_0000017810	Lipase 1	chain
O46108	21-394		PRO_0000017811	Lipase 3	chain
O46197	22-234		PRO_0000017556	Accessory gland protein Acp29AB	chain
O46199	24-120		PRO_0000020584	Accessory gland protein Acp53Ea	chain
O46200	17-81		PRO_0000020585	Accessory gland protein Acp63F	chain
O46202	25-115		PRO_0000034310	Accessory gland protein Acp62F	chain
O46203	20-252	ECO:0000255	PRO_0000443083	Accessory gland protein Acp32CD	chain
O46339	1-487		PRO_0000341484	Homeobox protein homothorax	chain
O46341	1-409		PRO_0000064407	Protein a6	chain
O61231	1-218		PRO_0000147114	Large ribosomal subunit protein uL16	chain
O61267	1-476		PRO_0000086237	Ovarian-specific serine	chain
O61305	1-460		PRO_0000055024	DEAD-box helicase Dbp80	chain
O61307	1-2731		PRO_0000421021	Teneurin-m	chain
O61345	1-737		PRO_0000075921	Protein penguin	chain
O61365	1-535		PRO_0000181310	Sodium channel protein Nach	chain
O61366	1-1302		PRO_0000186220	Serine-enriched protein	chain
O61443	1-365		PRO_0000186301	Mitogen-activated protein kinase p38b	chain
O61491	1-426		PRO_0000094054	Flotillin-1	chain
O61492	1-438		PRO_0000094055	Flotillin-2	chain
O61613	1-472		PRO_0000064228	Glycylpeptide N-tetradecanoyltransferase	chain
O61643	834-946		PRO_0000033743	Inhibin beta chain	chain
O61661	1-512		PRO_0000085855	Serine	chain
O61722	1-176	ECO:0000305	PRO_0000452474	PRL-1 phosphatase	chain
O61734	1-413		PRO_0000127165	Protein cycle	chain
O61735	1-1027		PRO_0000127162	Circadian locomoter output cycles protein kaput	chain
O62589	20-531	ECO:0000255	PRO_0000028135	Serine protease gd	chain
O62609	1-771		PRO_0000463430	SMAD family member 4	chain
O62618	1-366		PRO_0000186300	Mitogen-activated protein kinase p38a	chain
O62619	1-533		PRO_0000112099	Pyruvate kinase	chain
O62621	1-914		PRO_0000050916	Coatomer subunit beta	chain
O76206	1-153		PRO_0000194150	Putative riboflavin kinase	chain
O76324	1-440		PRO_0000192849	Discs overgrown protein kinase	chain
O76454	1-192		PRO_0000063061	Pterin-4-alpha-carbinolamine dehydratase	chain
O76460	1-784		PRO_0000392522	DNA repair and recombination protein RAD54-like	chain
O76464	1-460		PRO_0000109792	Nitrilase and fragile histidine triad fusion protein NitFhit	chain
O76511	1-321		PRO_0000140905	Thymidylate synthase	chain
O76742	1-207		PRO_0000459505	Ras-related protein Rab7	chain
O76767	1-212		PRO_0000194163	ER lumen protein-retaining receptor	chain
O76878	1-443		PRO_0000299315	RILP-like protein homolog	chain
O76879	26-260		PRO_0000020860	Circadian clock-controlled protein daywake	chain
O76902	1-316		PRO_0000438292	Pleckstrin homology domain-containing family F member 1 homolog	chain
O76906	1-982		PRO_0000197138	Protein cramped	chain
O76908	1-237		PRO_0000436008	RING finger protein vilya	chain
O76922	1-866		PRO_0000422915	Protein aubergine	chain
O76924	1-509		PRO_0000055757	Potential E3 ubiquitin-protein ligase ariadne-2	chain
O76927	1-83		PRO_0000395418	Small ribosomal subunit protein eS21	chain
O76932	1-307		PRO_0000353208	Serine	chain
O77051	1-370		PRO_0000420434	Transcription factor E2F2	chain
O77059	1-542		PRO_0000348597	Cryptochrome-1	chain
O77086	1-1571		PRO_0000068860	Guanine nucleotide-releasing factor 2	chain
O77215	1-588		PRO_0000049348	Homeobox protein unc-4	chain
O77237	1-424		PRO_0000194178	Protein pellino	chain
O77263	1-256		PRO_0000171434	tRNA (guanine-N(7)-)-methyltransferase	chain
O77264	1-361		PRO_0000156412	RNA 3'-terminal phosphate cyclase	chain
O77277	25-340		PRO_0000005512	Torsin-like protein	chain
O77286	1-87		PRO_0000194182	Protein anon-73B1	chain
O77410	1-435		PRO_0000123517	Eukaryotic translation initiation factor 3 subunit E	chain
O77438	20-581		PRO_0000013013	Frizzled-3	chain
O77459	1-601		PRO_0000046925	Transcription factor Ken	chain
O77460	1-338		PRO_0000137572	Inorganic pyrophosphatase	chain
O77475	1-392		PRO_0000424382	Ceramide phosphoethanolamine synthase	chain
O96433	1-1097		PRO_0000080498	Cyclin-T	chain
O96533	1-456		PRO_0000462468	Cell cycle checkpoint control protein Rad9	chain
O96539	1-484		PRO_0000195090	Arginyl-tRNA--protein transferase 1	chain
O96553	1-968		PRO_0000199324	C-1-tetrahydrofolate synthase, cytoplasmic	chain
O96651	1-875		PRO_0000145196	DNA topoisomerase 3-beta	chain
O96660	1-486		PRO_0000463142	SMAD family member 2	chain
O96827	2-222		PRO_0000155045	Probable elongation factor 1-beta	chain
O96838	1-1809		PRO_0000185454	Putative 1-phosphatidylinositol 3-phosphate 5-kinase	chain
O96860	1-89		PRO_0000195135	Dynein light chain 2, cytoplasmic	chain
O96863	1-219		PRO_0000068246	Casein kinase II subunit beta	chain
O97067	1-186		PRO_0000120282	Probable peptidyl-tRNA hydrolase 2	chain
O97069	1-419		PRO_0000148557	Argininosuccinate synthase	chain
O97125	1-635		PRO_0000078328	Heat shock protein 68	chain
O97143	1-769		PRO_0000385291	Serine	chain
O97148	25-514		PRO_0000013020	G-protein coupled receptor Mth	chain
O97159	1-1982		PRO_0000080236	ATP-dependent chromatin remodeler Mi-2	chain
O97172	1-99		PRO_0000365093	UPF0729 protein CG18508	chain
O97176	20-156		PRO_0000016582	Enhancer of split M1 protein	chain
O97177	1-218		PRO_0000087058	Enhancer of split M2 protein	chain
O97178	1-138		PRO_0000087061	Enhancer of split malpha protein	chain
O97179	1-70		PRO_0000087060	Enhancer of split m6 protein	chain
O97394	48-2224		PRO_0000226983	Protein sidekick	chain
O97420	1-96		PRO_0000195164	UPF0184 protein CG14818	chain
O97422	1-306		PRO_0000195179	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	chain
O97477	1-565		PRO_0000195182	Inositol-3-phosphate synthase	chain
P00334	2-256		PRO_0000054474	Alcohol dehydrogenase	chain
P00399	1-511		PRO_0000183325	Cytochrome c oxidase subunit 1	chain
P00408	1-228		PRO_0000183579	Cytochrome c oxidase subunit 2	chain
P00417	1-262		PRO_0000183767	Cytochrome c oxidase subunit 3	chain
P00522	1-1620		PRO_0000088054	Tyrosine-protein kinase Abl	chain
P00528	1-552		PRO_0000088140	Tyrosine-protein kinase Src64B	chain
P00850	1-224		PRO_0000082116	ATP synthase subunit a	chain
P00967	1-1353		PRO_0000074934	Trifunctional purine biosynthetic protein adenosine-3	chain
P02255	1-256		PRO_0000195961	Histone H1	chain
P02283	2-123		PRO_0000071861	Histone H2B	chain
P02299	2-136		PRO_0000221300	Histone H3	chain
P02515	1-174		PRO_0000125963	Heat shock protein 22	chain
P02516	1-186		PRO_0000125964	Heat shock protein 23	chain
P02517	1-208		PRO_0000125965	Heat shock protein 26	chain
P02518	1-213		PRO_0000125966	Heat shock protein 27	chain
P02572	3-376		PRO_0000000659	Actin-42A	chain
P02574	3-376		PRO_0000000663	Actin, larval muscle	chain
P02825	1-642		PRO_0000078330	Heat shock 70 kDa protein Ab	chain
P02828	1-717		PRO_0000062930	Heat shock protein 83	chain
P02833	1-378		PRO_0000200259	Homeotic protein antennapedia	chain
P02835	1-410		PRO_0000049062	Segmentation protein fushi tarazu	chain
P02836	1-552		PRO_0000196077	Segmentation polarity homeobox protein engrailed	chain
P02839	17-130		PRO_0000006387	Larval cuticle protein 1	chain
P02840	24-307		PRO_0000022329	Salivary glue protein Sgs-3	chain
P02841	24-74		PRO_0000022334	Salivary glue protein Sgs-7	chain
P02842	25-75		PRO_0000022335	Salivary glue protein Sgs-8	chain
P02843	21-439		PRO_0000017814	Vitellogenin-1	chain
P02844	20-442		PRO_0000017815	Vitellogenin-2	chain
P03896	1-341		PRO_0000117581	NADH-ubiquinone oxidoreductase chain 2	chain
P04052	1-1887		PRO_0000073937	DNA-directed RNA polymerase II subunit RPB1	chain
P04146	1-270	ECO:0000255	PRO_0000026135	Copia VLP protein	chain
P04146	271-1409	ECO:0000255	PRO_0000026136	Copia protease	chain
P04197	1-657		PRO_0000197052	Myb protein	chain
P04282	1-439		PRO_0000087419	Retrovirus-related Gag polyprotein from copia-like transposable element 17.6	chain
P04283	1-456		PRO_0000086980	Retrovirus-related Env polyprotein from copia-like transposable element 17.6	chain
P04323	1-1058		PRO_0000199557	Retrovirus-related Pol polyprotein from transposon 17.6	chain
P04357	1-40		PRO_0000197353	Metallothionein-1	chain
P04359	1-134		PRO_0000131128	Large ribosomal subunit protein eL32	chain
P04388	1-189		PRO_0000082668	Ras-like protein 2	chain
P04412	31-1426		PRO_0000016676	Epidermal growth factor receptor	chain
P04657	2-105		PRO_0000108259	Cytochrome c-1	chain
P04755	25-521		PRO_0000000301	Acetylcholine receptor subunit beta-like 1	chain
P04814	31-256		PRO_0000028262	Trypsin alpha	chain
P04950	1-383		PRO_0000197627	Opsin Rh3	chain
P05031	1-510		PRO_0000146945	Aromatic-L-amino-acid decarboxylase	chain
P05049	28-435		PRO_0000028132	Serine protease snk	chain
P05084	1-758		PRO_0000046948	Protein hunchback	chain
P05130	1-679		PRO_0000055730	Protein kinase C, brain isozyme	chain
P05205	1-206		PRO_0000080197	Heterochromatin protein 1	chain
P05303	1-462		PRO_0000090907	Elongation factor 1-alpha 2	chain
P05389	1-113		PRO_0000157652	Large ribosomal subunit protein P2	chain
P05527	1-576		PRO_0000196081	Homeobox protein invected	chain
P05552	1-262		PRO_0000064452	Transcription factor Adf-1	chain
P05623	20-55		PRO_0000020587	Sex peptide	chain
P05661	1-1962		PRO_0000123387	Myosin heavy chain, muscle	chain
P05709	1-688		PRO_0000127438	Protein single-minded	chain
P05812	1-445		PRO_0000125967	Heat shock protein 67B1	chain
